tweet,sentimen,clean_tweet
"Komentarnya bagus. Tapi alangkah indshnya jika ibu bilang, Jokowi lawan sang penantang. Gosipan warung juga aspirasi masyarakat, indahnya saling menghargai #nasehatbukanpakar https://twitter.com/GoDisko/status/1117106344991936512Â â€¦",positif,komentar bagus alangkah indshnya ibu bilang jokowi lawan sang tantang gosip warung aspirasi masyarakat indah saling harga nasehatbukanpakar
"Jokowi: Pertumbuhan Ekonomi >5% Harus Disyukuri, Jangan KufurÂ Nikmat  https://bhinnekanusantara.id/jokowi-pertumbuhan-ekonomi-5-harus-disyukuri-jangan-kufur-nikmat/Â â€¦ pic.twitter.com/GpsxLj72Vs",netral,jokowi tumbuh ekonomi syukur jangan_kufur nikmat pictwittercomgpsxljvs
"Buat yang ciwi-ciwi, mau harga skincare turun? Tusuk Prabowo Sandi!",netral,buat ciwiciwi harga skincare turun tusuk prabowo sandi
"Alhamdulillah,penutup terkeren dr @prabowo  Dan @sandiuno ,tidak akan mengambil gaji dan menymbangkan gajinya utk negara dan kesejahteraan rakyat. Ya Allah,kami mohon kabulkan doa kami agar Indonesia dipimpin oleh PrabowoSandiðŸ™Amin ya Robbal 'alamin. You Turn Broo ðŸ¤”ðŸ¤”âœŒâœŒ",positif,alhamdulillahpenutup keren prabowo sandiuno tidak_ambil gaji menymbangkan gaji negara sejahtera rakyat allahkami mohon kabul doa indonesia pimpin prabowosandi amin robbal alamin you turn broo
"Pun dari hal yang diutarakan Jokowi kemaren, eSports sendiri memang belum berkontribusi untuk perekonomian Indonesia karena gamenya sendiri bukan produksi gamedev lokal. Tapi tingginya antusiasme menunjukkan potensi yang bisa dibina oleh pemerintah seperti olahraga lainnya.",netral,utara jokowi kemaren esports sendiri memang belum_kontribusi ekonomi indonesia gamenya sendiri bukan_produksi gamedev lokal tinggi antusiasme tunjuk potensi bina perintah olahraga lain
Goblok nya kau emang kebangetan @Dennysiregar7 makanya otak dipakai buat mikir yg manfaat bukan otak di pantat. Sekelas petahana kok mikirin e sport sdg ekonomi aja masih carut marut. Kebanyakan makan tai kau ya?,negatif,goblok nya kau emang banget dennysiregar makanya otak pakai buat mikir manfaat bukan_otak pantat kelas tahana kok mikirin e sport sdg ekonomi carut marut banyak makan tai kau
"Pengakuan yg jujur bahwa sembako mahal sehingga perlu kartu. Karena permintaan terhadap kartu meningkat , maka sesuai hukum supply dan demand, harga kartu pun akan naik dan perlu diciptakan kartu baru, begitu seterusnya",positif,aku jujur sembako mahal perlu kartu minta kartu tingkat sesuai hukum supply demand harga kartu naik perlu cipta kartu baru
Mau gaji dokter hewan minimal 10 juta? Tusuk Prabowo-Sandi!,netral,gaji dokter hewan minimal juta tusuk prabowosandi
Sy juga mau mengeluh pak Abdillah.. sejak presiden Jokowi pacar sy makin tua aja penampilannya... Kebijakan pak Jokowi tdk berpihak kepada kami yg lagi pacaran... MudahÂ² ok ngOCEh nya pak sandi bisa mengatasi masalah penuaan pacar sy...harga kosmetik mahal semua..,negatif,keluh pak abdillah sejak presiden jokowi pacar makin tua tampil bijak pak jokowi tidak_pihak pacar mudah ngoceh nya pak sandi atas masalah tua pacar syharga kosmetik mahal semua
"Industri sekecil apapun bisa jadi penopang ekonomi,tidak terbengkalai tp industri kita masih blum bisa bersaing karna infrastruktur kita yg tertinggal jauh..makanya adaa prioritas dlm pembangunan tdk akan bisa sekaligus,semua bertahap n hasilnya akan baik..",positif,industri kecil apa jadi topang ekonomitidak bengkalai industri blum saing karna infrastruktur tinggal jauhmakanya adaa prioritas bangun tidak_sekaligussemua tahap n hasil baik
